filename,whisper_transcription,transcribe_transcription,label
common_voice_yue_31189878.wav,['今夜還沒睡覺?'],咁夜仲未瞓覺?,咁夜仲未瞓觉
common_voice_yue_31278106.wav,['那個是因為我們這邊有規範的請你理解一下'],嗰個係因為我哋呢邊有規範嘅。請你理解下。,嗰个系因为我哋呢边有规范嘅请你理解下
common_voice_yue_31355478.wav,"['看清全限就得,不用太過潔癖。']","睇清權限就得,唔使太過潔癖",睇清权限就得唔使太过洁癖
common_voice_yue_31355597.wav,['怪不得不准收到通知'],唔怪得不斷收到通知,唔怪得不断收到通知
common_voice_yue_31362121.wav,['你們那邊幾點啊'],你哋嗰邊幾點呀?,你哋嗰边几点啊
common_voice_yue_31645479.wav,[' Kölg úr vann dag.'],佢會暈低咁,佢会晕低
common_voice_yue_31688971.wav,[' Maggæ ég ekki í leið?'],乜鬼野記憶力?,乜鬼嘢记忆力
common_voice_yue_31690752.wav,['你以為我真是那麼膚淺嗎'],你以為我真係咁膚淺咩?,你以为我真系咁肤浅咩
common_voice_yue_31695870.wav,['誰坐在這裡'],邊個坐緊喺度?,边个坐紧喺度
common_voice_yue_31696988.wav,['我有一段時間是大食跡'],我有一段時間係大食積,我有一段时间系大食积
common_voice_yue_31702695.wav,['晚上我洗澡那一陣'],夜晚我沖涼嗰陣,夜晚我冲凉嗰阵
common_voice_yue_31711474.wav,['我會從此就在你生命中消失'],我會從此就喺你生命中消失,我会从此就系你生命中消失
common_voice_yue_31711727.wav,['我喜歡打機但我更加喜歡睡覺所以我不會叫夜打機'],"我鍾意打機,但係我更加鍾意瞓覺,所以我唔會嗌嘢打機。",我钟意打机但系我更加钟意瞓觉所以我唔会挨夜打机
common_voice_yue_31715537.wav,['你的抑郁力更差'],你記憶力仲差過我,你记忆力仲差过我
common_voice_yue_31720096.wav,['我也是覺得用表格直觀點'],我都係覺得用表格直觀啲,我都系觉得用表格直观啲
common_voice_yue_31720097.wav,['你是不是覺得我應該要理解你'],你係咪覺得我應該要理解你?,你系咪觉得我应该要理解你
common_voice_yue_31730177.wav,[' Þú hún þó á það í það.'],原本同加英文後嘅對比你,原本同加英文后嘅对比
common_voice_yue_31757955.wav,['沒有證據的話就會好像沒有人做錯事'],冇證據嘅話就會好似冇人做錯嘢,冇证据嘅话就会好似冇人做错嘢
common_voice_yue_31787216.wav,['吾識那個字怎打'],唔識嗰個字點打,唔识嗰个字点打
common_voice_yue_31956044.wav,"['雖然如此,但我很關注這件事']","雖然咁樣,但係我好關注呢件事。",虽然噉样但系我好关注呢件事
common_voice_yue_31977645.wav,[' Jóngíða kvælun.'],總結下規律,总结下规律
common_voice_yue_32068707.wav,"['至少他都有对我坦白,是吗?']",至少佢都有對我坦白係咪?,至少佢都有对我坦白系咪
common_voice_yue_32079848.wav,['任何不属于你的事不准暖动'],"任何唔屬於你嘅野,唔准亂郁",任何唔属于你嘅嘢唔准乱喐
common_voice_yue_32088684.wav,['放兩個女人出來擋子彈'],擺兩個女人出嚟擋子彈,摆两个女人出来挡子弹
common_voice_yue_32198956.wav,"['好,你跟着啦']","好,宜家得啦。",好而家得啦
common_voice_yue_32249695.wav,['畫圈的是什麼意思呢'],畫圈嘅係乜嘢意思呢?,画圈嘅系乜嘢意思呢
common_voice_yue_32255448.wav,"['有些人随着社会的开放,出来背着自己老婆狗狗阵的。']","有啲人隨住社會嘅開放,出黎背住自己老婆狗狗震嘅。",有啲人随住社会嘅开放 出嚟背住自己老婆搞搞震嘅
common_voice_yue_32256203.wav,['我以為對那句是你說的'],我以為啱嗰句係你講嘅。,我以为啱嗰句系你讲嘅
common_voice_yue_32259574.wav,['真的跟可改錯的人說才行'],真係同我改錯嘅人講先得囉。,真系同可改造嘅人讲先得啰
common_voice_yue_32261446.wav,['他們都不理人的更冷漠。'],"佢哋都唔睬人架,更冷門",佢哋都唔睬人嘅咁冷漠
common_voice_yue_32268499.wav,"['這個文章寫得很忠衡,但如果被人利用了,就不好了。']","呢個文章寫得好中肯,但係如果俾人利用咗嘅話,就唔好啦。",呢个文章写得好中肯但系如果畀人利用咗嘅话就唔好嘞
common_voice_yue_32269133.wav,['所以我照鸿鸿鸟正量不用'],"所以我就咁樣坐,盡又唔郁。",所以我就噉样坐尽量唔喐
common_voice_yue_32269424.wav,['我觉得上容马不好用'],我覺得相容碼唔好用。,我觉得相容码唔好用
common_voice_yue_32269532.wav,['所以就出問題咯'],所以咪出問題囉。,所以咪出问题啰
common_voice_yue_32269732.wav,[' Hæja væi'],下一位,下一位
common_voice_yue_32269801.wav,"['天天都不见她读书,只会去玩。']","日日都唔見佢讀書,淨係識去玩",日日都唔见佢读书净系识去玩
common_voice_yue_32270023.wav,['我朋友會但是我一定沒有'],"我朋友會,但係我一定冇。",我朋友会但系我一定冇
common_voice_yue_32270140.wav,['我去食舊包'],我去食夠包,我去食嚿包
common_voice_yue_32270856.wav,['也算是这样'],都算係咁啦,都算系噉喇
common_voice_yue_32270965.wav,['古代封閉少點文化交流'],"古代封閉,少啲文化交流",古代封闭少啲文化交流
common_voice_yue_32271199.wav,['他也不懂得粗文的不如用英文好'],"佢都唔識中文嘅,不如用英文好過。",佢都唔识中文嘅不如用英文好过
common_voice_yue_32272106.wav,['我講先的'],我講先,我讲先?
common_voice_yue_32274323.wav,['每條片雅十分鐘'],每條片廿分鐘。,每条片廿分钟
common_voice_yue_32279039.wav,['怕它不夠下去'],驚佢唔夠落去。,惊佢唔搞落去
common_voice_yue_32286016.wav,['聽唔聽到啊女 聽唔聽到嘅'],"聽唔聽到呀女,聽唔聽到啫?",听唔听到吖女听唔听到啫
common_voice_yue_32305612.wav,['我不喜歡看到小孔孔黏在一起立刻起雞皮'],"我唔鍾意見到啲細窿窿黐埋一齊,即刻起晒雞皮",我唔中意见到啲细窿窿黐埋一齐即刻起晒鸡皮
common_voice_yue_32305781.wav,['你覺得自己是不是很快過路'],你覺得自己係咪好快過路,你觉得自己系咪口快过脑
common_voice_yue_32306455.wav,['是一個來自一個北加州的電話'],係一個來自一個北加州嘅電話。,系一个嚟自一个北加州嘅电话
common_voice_yue_32317366.wav,['你有沒有在舊學校被人玩過'],你有冇喺舊學校俾人玩過?,你有冇喺旧学校畀人玩过
common_voice_yue_32327588.wav,['他們主要是做語音合成的'],佢哋主要係做語音合成嘅。,佢哋主要系做语音合成嘅
common_voice_yue_32329690.wav,[' Nathan Geithok'],你信基督,你信基督
